Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),Helping Others,Ledger Labs- / Emailing & Training,30ykxpx,852.3
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85ztmy6ag,839.5
REMOTE_MISSING (id not in ClickUp),Tax & Compliance Work,Admin-Operational Works,14384777,824.5
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Employee Process,,766.2
REMOTE_MISSING (id not in ClickUp),Indian Accounting Finovate,Admin-Operational Works,14384769,742.7
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payments Reconciliation,Operations - Bravix / Wisoman_Sonal (F),2z597jv,722.5
NO_TASK (project-level only),(no task - project level),Admin / Accounting - Finovate,,698.1
REMOTE_MISSING (id not in ClickUp),ClickUp & Process Management,Operations - Synergy / 19Y Advisors_David,31a1kne,641.5
REMOTE_MISSING (id not in ClickUp),NB - Meeting With Team,Operations - Falcons / NB Tasks - Falcons,86cv3p978,611.2
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / T1_Ward (F),30k8eee,561.9
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Compensation & Benef,,543.0
NO_REMOTE (native Hubstaff task),Indian Accounting Finovate,Admin-Operational Works,,495.5
REMOTE_MISSING (id not in ClickUp),Audit: Review AP & AR : Apply Payments & Reconcile Cutomer/Vendors,Archived Projects- Ledger Labs- / Nano_Chris,85zrpymgz,483.5
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Bravix / Wisoman_Sonal (F),2z597ka,474.5
REMOTE_MISSING (id not in ClickUp),Email Management,Operations - Syndicate / Macar_Ismail (H),86cvw5yqx,459.5
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Documents Process,,448.6
REMOTE_MISSING (id not in ClickUp),NB - Meeting with Management,Operations - Falcons / NB Tasks - Falcons,86cv3p976,444.9
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Falcons / NB Tasks - Falcons,86d0ff5fn,442.1
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cxxz1tx,425.9
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Krate_Amanda (H),,419.7
REMOTE_MISSING (id not in ClickUp),BB Grooming_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv9k7d6,412.5
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85ztk1cpp,405.0
REMOTE_MISSING (id not in ClickUp),NB - Self learning During non-working,Operations - Synergy / NB Tasks - Synergy,86cwzu9n6,381.6
REMOTE_MISSING (id not in ClickUp),Mark_Email communication,Operations - Bravix / Mark Perlberg_CPA (F),86cvej686,376.3
REMOTE_MISSING (id not in ClickUp),Email Managment & Task Delegation,Admin-Operational Works,14384773,368.8
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85zthjbtf,368.6
NO_TASK (project-level only),(no task - project level),Operations - Bravix / NB Tasks - Bravix,,367.8
NO_REMOTE (native Hubstaff task),HR and Admin Task,"Ledger Labs, Inc. / Emailing & Management",,338.5
NO_TASK (project-level only),(no task - project level),Operations - Titans / NB Tasks - Titans,,337.8
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Bank Working (Deposits/Payment)),Operations - Syndicate / Macar_Ismail (H),86cvy6pqf,331.4
REMOTE_MISSING (id not in ClickUp),AR Management,Operations - Syndicate / Maceoo_Mehdi (F),85ztj280b,329.2
NO_TASK (project-level only),(no task - project level),Operations - Falcons / Blake_Cole (H),,328.0
NO_TASK (project-level only),(no task - project level),Operations - Synergy / Blind_Adam (H),,315.1
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Syndicate / Whitehat_Gogi (H),30k8r93,314.2
REMOTE_MISSING (id not in ClickUp), Inbox Management : Daily Email Response,Operations - Falcons / Topo_Erin (H),86cue659t,301.4
REMOTE_MISSING (id not in ClickUp),AR Management: Invoicing from Sales Order and PS,Operations - Synergy / T1_Ward (F),30dbntu,287.1
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Alliance / FoliaWater_Jonathan (H),30rwcut,283.4
REMOTE_MISSING (id not in ClickUp),Email and Slack Management: Daily Emails checking,Operations - Synergy / IDream_Joseph (H),86ctvb311,271.7
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Bravix / NB Tasks - Bravix,86d28w35w,270.8
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Dock_Ujwal (H),,269.3
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / Bradford_Kirk (F),,266.2
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Payroll Process,,261.8
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Blind_Adam (H),86cy8wdvu,260.8
NO_TASK (project-level only),(no task - project level),Operations - Falcons / Crux_Adam (F),,248.7
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),86cvrh8xd,248.6
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Falcons / NB Tasks - Falcons,86d05hnbz,246.1
REMOTE_MISSING (id not in ClickUp),BB Grooming : AP Management : Adding Bills & Payment Reconciliation,Operations - Synergy / Blind_Adam (H),85ywg9406,245.9
REMOTE_MISSING (id not in ClickUp),Status: Daily Task According to Email,Operations - Synergy / Found_Bethany,85ztpbd7g,241.9
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Bravix / NB Tasks - Bravix,86d28w370,234.7
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Bravix / Dannik_Olga (F),86curx3xq,226.6
REMOTE_MISSING (id not in ClickUp),"Commission: Employee, CJR and others agents",Operations - Synergy / T1_Ward (F),85yv2tvf5,224.9
REMOTE_MISSING (id not in ClickUp),NB - Meeting With Team,Operations - Falcons / NB Tasks - Falcons,86d0ff5fu,221.8
REMOTE_MISSING (id not in ClickUp),Sutor International USA,Operations - Ledger Labs / Dibianco_Rachel,85zt0abn1,208.9
REMOTE_MISSING (id not in ClickUp),Email Management: Daily Email Checking & Create Task Accordingly,Operations - Synergy / Found_Bethany,85zt5xyt5,201.3
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Synergy / Blind_Adam (H),85yxzvtvf,194.2
REMOTE_MISSING (id not in ClickUp),Email & Slack Communications,Onboarding Clients / Duvin_Garrett (F),86cwt8j86,193.4
REMOTE_MISSING (id not in ClickUp),Missive inbox,Admin-Operational Works,14384966,184.6
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Blind_Adam (H),86cv0fmj6,184.1
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Synergy / Blind_Adam (H),314bend,177.8
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Titans / McMullen_Sherri (H),86cv9kvd6,175.3
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Employe Exit,,175.1
REMOTE_MISSING (id not in ClickUp),AP Management,Operations - Ledger Labs / Trilogis_Cedris,86cvj1y8t,170.9
REMOTE_MISSING (id not in ClickUp),AR Reconciliation: Daily Invoicing to Customers,"Ledger Labs, Inc. / Ponte_Shana",85yy30chy,170.3
REMOTE_MISSING (id not in ClickUp),BB Charley:AP Management: Adding Bills & Payment Reconciliation,Operations - Synergy / Blind_Adam (H),314azhu,169.2
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Mavericks / Base_Bob (F),86cx5p2u7,167.4
NO_TASK (project-level only),(no task - project level),Operations - Bravix / Dannik_Olga (F),,165.6
REMOTE_MISSING (id not in ClickUp),Consolidated_Email / Slack Communications,Operations - Bravix / Finance Faheem_CPA (H),86cv9dnyk,162.6
REMOTE_MISSING (id not in ClickUp),Bookkeeping work from Email,Operations - Syndicate / Maceoo_Mehdi (F),866ayeu1y,162.0
NO_REMOTE (native Hubstaff task),Emailing & Task Management - Missive,Operations - Synergy / 19Y Advisors_David,,156.3
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Falcons / NB Tasks - Falcons,86d05h90z,155.8
NO_REMOTE (native Hubstaff task),Email Management,Admin-Operational Works,,155.5
REMOTE_MISSING (id not in ClickUp),Audit: Review AP & AR : Create Bills & Invoice ,Archived Projects- Ledger Labs- / Nano_Chris,85zrmvyx1,154.9
REMOTE_MISSING (id not in ClickUp),NB_Helping and Training,Operations - Bravix / Mark Perlberg_CPA (F),86cvej6ar,154.3
REMOTE_MISSING (id not in ClickUp),03. AP Management: Bills Add to AP sheet and folder,Operations - Falcons /Smrtft_Rob (H),86cvjbxwm,153.7
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Bravix / Finance Faheem_CPA (H),86cw63272,151.2
REMOTE_MISSING (id not in ClickUp),"Daily: AR Recon- Invoice add, Payment reco.",Onboarding Clients / Duvin_Garrett (F),86cyuza94,147.4
REMOTE_MISSING (id not in ClickUp),"AR Management: Update PR Sheet, Create Invoices and Apply Payments",Operations - Syndicate / EdBall_Edward (F),86cv3x8zh,147.1
REMOTE_MISSING (id not in ClickUp),BB Moxy_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv9k7jk,143.8
REMOTE_MISSING (id not in ClickUp),Cashin/Cashout Report,Operations - Syndicate / Maceoo_Mehdi (F),85zu0cv7w,143.2
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cyxcpvk,142.2
REMOTE_MISSING (id not in ClickUp),Daily: Coding & Email,Onboarding Clients / Duvin_Garrett (F),86cwt8hq8,141.3
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Onboarding Clients / DocsDiesel_Max,86cx4dr90,141.0
REMOTE_MISSING (id not in ClickUp),AR mails inbox,Operations - Syndicate / Maceoo_Mehdi (F),865cyma6a,139.9
REMOTE_MISSING (id not in ClickUp),Email Communication,Onboarding Clients / Duvin_Garrett (F),86d0bkb91,139.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Chase Bank 3890,Operations - Syndicate / Whitehat_Gogi (H),30k8r9h,139.4
NO_TASK (project-level only),(no task - project level),Operations - Synergy / 19Y Advisors_David,,137.3
REMOTE_MISSING (id not in ClickUp),Status & Queries: Resolve Query & Unclear Transactions,Archived Projects- Ledger Labs- / Nano_Chris,85zrpymh8,136.2
REMOTE_MISSING (id not in ClickUp),"AP Management: Reviewing Added,Open PO & Pending Bills & Payment Processing",Operations - Synergy / T1_Ward (F),85ywkf1dh,136.1
REMOTE_MISSING (id not in ClickUp),2023 Closing,Operations - Synergy / Blind_Adam (H),86cv04dcc,134.6
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cxh59ww,134.5
NO_TASK (project-level only),(no task - project level),Operations - Bravix / Wisoman_Sonal (F),,134.2
NO_REMOTE (native Hubstaff task),Email Mgmt,Operations - Synergy / 19Y Advisors_David,,134.0
REMOTE_MISSING (id not in ClickUp),Bill Adding,Operations - Ledger Labs / Trilogis_Cedris,86cvjwy99,131.8
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / EdBall_Edward (F),,131.4
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / BayArea_Salu (H),,130.9
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85ztn76mc,130.1
REMOTE_MISSING (id not in ClickUp),Year end book review - 2024,Operations - Synergy / Blind_Adam (H),86cxu8wem,129.5
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86cv0fmjd,128.3
REMOTE_MISSING (id not in ClickUp),CFOs: Preparing Production Cost Sheet,Operations - Bravix / Wisoman_Sonal (F),85ywb8b56,127.3
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Bravix / NB Tasks - Bravix,86d28w39z,126.9
REMOTE_MISSING (id not in ClickUp),Daily: Invoicing & Bill Add,Onboarding Clients / Duvin_Garrett (F),86cwt8hz9,123.1
REMOTE_MISSING (id not in ClickUp),09. Audit: Monthly Financials Review,Operations - Falcons /Smrtft_Rob (H),86cv247x7,122.7
REMOTE_MISSING (id not in ClickUp),NB - Meeting With Team,Operations - Falcons / NB Tasks - Falcons,86d05h90p,122.6
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation (Raghav),Operations - Synergy / Blind_Adam (H),86d0dd03j,121.4
REMOTE_MISSING (id not in ClickUp),Email Management,Operations - Syndicate / Health_David (F),86cvueabm,120.2
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Mavericks / Bradford_Kirk (F),30k44vv,120.2
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Deco_Eric,,119.8
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Maceoo_Mehdi (F),,119.6
REMOTE_MISSING (id not in ClickUp),04. Cash Flow Sheet Update,Operations - Falcons /Smrtft_Rob (H),86cvag2gd,119.0
REMOTE_MISSING (id not in ClickUp),NB - Training & Research: Blind_Adam_Cleanup_Task,Operations - Synergy / Blind_Adam (H),86d20y4j7,119.0
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Audit : Monthly Review,Operations - Bravix / Dannik_Olga (F),86cvagznc,118.6
REMOTE_MISSING (id not in ClickUp),COGS:Manually Data Prepare for COGS,Onboarding Clients / Duvin_Garrett (F),86d0bkf7f,117.9
REMOTE_MISSING (id not in ClickUp),Chase Credit Card reconciliation,Operations - Syndicate / Maceoo_Mehdi (F),85zthreeu,116.2
REMOTE_MISSING (id not in ClickUp),colla,Onboarding Clients / Duvin_Garrett (F),86cwt8m13,115.7
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Duvin_Garrett (F),,114.9
NO_TASK (project-level only),(no task - project level),Operations - Synergy / Inter_Jonathan (F),,114.7
REMOTE_MISSING (id not in ClickUp),"AP Management: Update PR Sheet, Add Bills and Apply Payments",Operations - Syndicate / EdBall_Edward (F),86cwkt921,113.9
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation PO an Vendors bills,Operations - Synergy / T1_Ward (F),30dbntd,113.8
REMOTE_MISSING (id not in ClickUp),Inbox Management: Daily Review & Response,"Ledger Labs, Inc. / Ponte_Shana",85yxdc7rn,113.6
REMOTE_MISSING (id not in ClickUp),AP Management: Vendor Payment Processing,Operations - Syndicate / Whitehat_Gogi (H),30k8r9d,112.1
REMOTE_MISSING (id not in ClickUp),"AP Management: Update PR Sheet, Add Bills and Apply Payments",Operations - Syndicate / EdBall_Edward (F),86cv4egr1,111.9
NO_TASK (project-level only),(no task - project level),Operations - Alliance / Hairillusion_Sal (H),,111.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliations,Operations - Syndicate / Maceoo_Mehdi (F),86cxcm5am,109.7
REMOTE_MISSING (id not in ClickUp),IDream IT: IDream_Weekly Billing,Operations - Synergy / IDream_Joseph (H),86cwc6r1h,109.7
REMOTE_MISSING (id not in ClickUp),Tax research,Tax-Compliance Taks -(Common),15496471,109.7
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Close all the Sales Order Correctly,Operations - Bravix / SevenShopper_Lin (H),85yxhp1u2,109.2
NO_TASK (project-level only),(no task - project level),Operations - Synergy / T1_Ward (F),,108.7
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cx8u4eu,107.4
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation - Raghav,Operations - Synergy / Blind_Adam (H),86cznq7am,107.3
REMOTE_MISSING (id not in ClickUp),Baselinx: Audit Book Correction and Review,Operations - Mavericks / Base_Bob (F),86cyrwfq7,107.2
REMOTE_MISSING (id not in ClickUp),AP Management: Reconcile MSBC AP Aging,Operations - Bravix / SevenShopper_Lin (H),85yxg49fv,106.4
REMOTE_MISSING (id not in ClickUp),BB Highland:AP Management: Adding Bills & Payment Reconciliation,Operations - Synergy / Blind_Adam (H),314av97,105.3
REMOTE_MISSING (id not in ClickUp),1099_Working_2025,Operations - Synergy / Blind_Adam (H),86cyyqjfu,104.3
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86d1fqx2u,103.3
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / Radix_Christian (H),,102.8
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Syndicate / Macar_Ismail (H),86cvy6pt6,102.7
REMOTE_MISSING (id not in ClickUp),Bank Reconciliation,Operations - Syndicate / Maceoo_Mehdi (F),85ztdr18a,102.3
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv9k7j3,101.8
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / SiliconValley_Jack,,101.2
REMOTE_MISSING (id not in ClickUp),Daily: Email & Slack Communications,Onboarding Clients / Duvin_Garrett (F),86cyuzbga,100.5
REMOTE_MISSING (id not in ClickUp),Email Management: Daily emails and Allocate work,Operations - Synergy / Found_Bethany,86cutg3v9,99.6
REMOTE_MISSING (id not in ClickUp),Onboard Maceoo,Operations - Syndicate / Maceoo_Mehdi (F),85zt8p84v,98.6
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Falcons /Smrtft_Rob (H),86cut7hm1,97.7
NO_REMOTE (native Hubstaff task),Email & Inbox Management,"Ledger Labs, Inc. / Emailing & Management",,96.5
NO_TASK (project-level only),(no task - project level),Operations - Alliance / NB Tasks - Alliance,,95.1
REMOTE_MISSING (id not in ClickUp),AP Management,Operations - Syndicate / Maceoo_Mehdi (F),85ztj27mz,95.1
REMOTE_MISSING (id not in ClickUp),Bank & Credit Card Reconciliation,Onboarding Clients / Panasun_Samar,86cvb06nj,94.9
REMOTE_MISSING (id not in ClickUp),Daily POS Update all store,Operations - Syndicate / Maceoo_Mehdi (F),86cu1eccb,94.3
REMOTE_MISSING (id not in ClickUp),Monthly: COGS,Onboarding Clients / Duvin_Garrett (F),86cwt8fvm,94.3
NO_TASK (project-level only),(no task - project level),Operations - Ledger Labs / Monett_Guy,,93.8
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Blind_Adam (H),86cxxz1u7,93.4
NO_TASK (project-level only),(no task - project level),Operations - Bravix / Paragon_Harris (F),,93.0
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Bank and Card Reconciliation,Operations - Bravix / Dannik_Olga (F),86cvagznb,92.5
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Inbox Management : Task Delegation & Follow up,Operations - Bravix / Dannik_Olga (F),86curvre8,90.4
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Employee Engagement & Retention (#2),,89.3
REMOTE_MISSING (id not in ClickUp),Emails,"Ledger Labs, Inc. / Emailing & Management",14999450,88.9
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation - Kanika,Operations - Synergy / Blind_Adam (H),86czctxkj,88.3
NO_REMOTE (native Hubstaff task),Indian Accounting,"Ledger Labs, Inc. / Emailing & Management",,88.2
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Syndicate / EdBall_Edward (F),86cv4edx7,87.8
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / Joycan_James (F),,87.7
REMOTE_MISSING (id not in ClickUp),Status & Queries: Checking Documents & Request,Operations - Synergy / Found_Bethany,85zt5xtkz,87.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Bank Working (Expenses),Operations - Syndicate / Macar_Ismail (H),86cvy6pr4,87.4
REMOTE_MISSING (id not in ClickUp),Audit: Queries and Concerns,Operations - Synergy / Master_Lloyd : Vargas Family Venture LLC,86curw9v4,87.1
REMOTE_MISSING (id not in ClickUp),Daily: Concerns if Any Related AP & AR,Onboarding Clients / Duvin_Garrett (F),86cwt8jaw,86.7
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills (Bill.com),Operations - Alliance / FoliaWater_Jonathan (H),30dcryz,86.4
REMOTE_MISSING (id not in ClickUp),BB Grooming:Bank & Card Reconciliation: Chase bank 9996,Operations - Synergy / Blind_Adam (H),85zrrjm6d,86.4
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / IDream_Joseph (H),86cvqz7ca,85.3
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Bravix / NB Tasks - Bravix,86d28w38x,84.7
NO_TASK (project-level only),(no task - project level),Audit & Reporting,,83.7
REMOTE_MISSING (id not in ClickUp),AR:Invocie recorded in QB Manually,Onboarding Clients / Duvin_Garrett (F),86d0bkekp,83.0
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / PJD_Paul (H),,82.7
REMOTE_MISSING (id not in ClickUp),Tax & Compliances,Operations - Synergy / 19Y Advisors_David,31fxgwv,82.2
NO_REMOTE (native Hubstaff task),Admin-Operational Works: review emails and Missive comments,Admin-Operational Works,,82.0
REMOTE_MISSING (id not in ClickUp),TVP_AP Email,Operations - Bravix / Finance Faheem_CPA (H),86cwvrt1k,80.2
REMOTE_MISSING (id not in ClickUp),"Payroll: Payroll report data Request Weekly, Convert in Excel & Run Payroll",Operations - Synergy / Found_Bethany,85zt5xtku,78.3
REMOTE_MISSING (id not in ClickUp),Bank:Business Economy Chk (BOA 2731),Onboarding Clients / Duvin_Garrett (F),86d0bkcgy,76.5
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Payroll Check and Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86cvej5zv,76.4
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),86currfcw,75.4
REMOTE_MISSING (id not in ClickUp),Monthly MJE adjustments: Deferred Revenue,Operations - Syndicate / Munission_Dan (F),338wpn4,75.4
REMOTE_MISSING (id not in ClickUp),AR Reconciliation: Daily Invoicing to Customers,"Ledger Labs, Inc. / Ponte_Shana",85zt41bb8,74.9
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Onboarding Clients / Duvin_Garrett (F),86cyuzbkb,74.5
REMOTE_MISSING (id not in ClickUp),"AR & AP Management: Create Bills, Make Fulfilment & applied payments",Operations - Synergy / Found_Bethany,31fu0jm,74.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Rondout Saving Bank 6059,Operations - Synergy / Found_Bethany,85zt5xxjp,74.2
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Titans / Butter_Wendell (F),31ngvfz,74.1
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation (Kanika),Operations - Synergy / Blind_Adam (H),86d022v3m,72.9
REMOTE_MISSING (id not in ClickUp),Email Communication,Tax-Compliance Taks -(Common),15496485,72.2
REMOTE_MISSING (id not in ClickUp),AP Management : Adding Bills Daily Emails,Operations - Syndicate / EdBall_Edward (F),86cv2m3mh,71.7
REMOTE_MISSING (id not in ClickUp),AWE Bank & Credit Reconciliation,Operations - Bravix / Finance Faheem_CPA (H),86cv9gv6k,71.1
REMOTE_MISSING (id not in ClickUp),Status and queries: Status and queries update and mail to client,Operations - Mavericks / ChefPoint_Paula (F),30rw7g9,70.9
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86d0nmyb5,70.3
NO_REMOTE (native Hubstaff task),US Federal Tax & State Compliances,Admin-Operational Works,,69.8
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Health_David (F),,69.7
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Titans / McMullen_Sherri (H),86cv5vbjp,69.6
REMOTE_MISSING (id not in ClickUp),BB Grooming: AR Management: Adding Invoices & Payment Reconciliation,Operations - Synergy / Blind_Adam (H),85yxzvu6b,68.7
REMOTE_MISSING (id not in ClickUp),NB Task,Operations - Bravix / EpicRise_Lin (H),86cvjw3gz,68.7
REMOTE_MISSING (id not in ClickUp),BB Philly_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv9k7hk,68.4
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Syndicate / EdBall_Edward (F),86cvahntn,68.3
NO_TASK (project-level only),(no task - project level),Ledger Labs: R&D - Automation,,68.3
